# hoGAMEGATA Full Verified Horror Tags (15825 tags)
# Format: Tag Name | Slug
# Source: https://gamegata.xyz

Survival Horror | survival-horror
Survivor-like | survivor-like
Swords | swords
Synthwave | synthwave
TIC-80 | tic-80
Tabletop | tabletop
Tabletop role-playing game | tabletop-role-playing-game
Tactical | tactical
Tactical RPG | tactical-rpg
Tanks | tanks
Tarot | tarot
Team-Based | team-based
Tennis | tennis
Tentacles | tentacles
Tetris | tetris
Text | text
Text-Based | text-based
Textures | textures
Thanksgiving | thanksgiving
Third person | third-person
Third-Person Shooter | third-person-shooter
Thriller | thriller
Tilemap | tilemap
Tileset | tileset
Time Attack | time-attack
Time Manipulation | time-manipulation
Time Travel | time-travel
Top Down Adventure | top-down-adventure
Top down | bird-view-top-down
Top down shooter | top-down-shooter
Top-Down | top-down
Touch-Friendly | touch-friendly
Touhou | touhou
Touring | touring
Tower Defense | tower-defense
Trading | trading
Trains | trains
Transgender | transgender
Traps | traps
Trijam | trijam
Trivia | trivia
TurboGrafx-16 | turbografx-16
Turn-Based | turn-based
Turn-Based Combat | turn-based-combat
Turn-based Strategy | turn-based-strategy
Tutorial | tutorial
Twin Stick Shooter | twin-stick-shooter
Twine | twine
Two Player | two-player
Two colors | two-colors
Tycoon | tycoon
Typing | typing
TyranoBuilder | tyranobuilder
Underground | underground
Undertale | undertale
Underwater | underwater
Unicorns | unicorns
Unity | unity
Unreal Engine | unreal-engine
Unsettling | unsettling
Urban | urban
Urban Decay | setting-urban
User Interface (UI) | user-interface-ui
VHS / Analog | vhs-analog
VIC-20 | vic-20
VR | vr
VRChat | vrchat
VTT | vtt
Vampire | vampire
Vector | vector
Vehicles | vehicles
Versus | versus
Victorian | victorian
Violent | violent
Virtual Pet | virtual-pet
Virtual Reality | virtual-reality
Virtual Reality (VR) | virtual-reality-vr
Visual Novel | visual-novel
Visualization | visualization
Voice Acting | voice-acting
Voxel | voxel
WAV | wav
Walking Simulator | walking-sim
Walking simulator | walking-simulator
War | war
Weapons | weapons
Webcomic | webcomic
Werewolves | werewolves
Western | western
Wholesome | wholesome
Wild West | wild-west
Wizards | wizards
Wobbly | wobbly
Word game | word-game
Wordle | wordle
Working Simulator | working-simulator
World War I | world-war-i
World War II | world-war-ii
Yandere | yandere
Yaoi | yaoi
Yuri | yuri
ZX Spectrum | zx-spectrum
Zero Gravity | zero-gravity
Zombie & Apocalypse | zombie-apocalypse
Zombies | zombies
a-2009-game | a-2009-game
a-bad-exe-game | a-bad-exe-game
a-bit-scary | a-bit-scary
a-broken-halo | a-broken-halo
a-bugs-fight | a-bugs-fight
a-delivery | a-delivery
a-different-world | a-different-world
a-flesh-corridor | a-flesh-corridor
a-grande-familia | a-grande-familia
a-land-of-tears | a-land-of-tears
a-little-bit-of-stealth | a-little-bit-of-stealth
a-little-bit-spooky-i-guess | a-little-bit-spooky-i-guess
a-nightmare-on-elm-street | a-nightmare-on-elm-street
a-pixelated-nightmare | a-pixelated-nightmare
a-shadow-of-thoughts | a-shadow-of-thoughts
a-short-hike | a-short-hike
a-tale-of-madness | a-tale-of-madness
a-test | a-test
a-tour-in-sama-city | a-tour-in-sama-city
a-travers-les-etoiles | a-travers-les-etoiles
a-tree-fell | a-tree-fell
a-vmpires-tale | a-vmpires-tale
a_b | a_b
aaa | aaa
aaa-indie-game | aaa-indie-game
aaaa | aaaa
aaaaa | aaaaa
aaaaaa | aaaaaa
aaaaaaaaaaaaaaaaa | aaaaaaaaaaaaaaaaa
aaaaagdeeeeee | aaaaagdeeeeee
aah | aah
aaron | aaron
aau | aau
abadoned | abadoned
abandoned | abandoned
abandoned-escape | abandoned-escape
abandoned-hospital | abandoned-hospital
abandoned-house | abandoned-house
abandoned-mall | abandoned-mall
abandoned-school | abandoned-school
abandonware | abandonware
abc | abc
abdication | abdication
abduction | abduction
aberration | aberration
abgerny | abgerny
abiaz-fangame | abiaz-fangame
abibaz | abibaz
abilities | abilities
abobora | abobora
abode | abode
abofalah | abofalah
abolitionist-veganism | abolitionist-veganism
abondoned | abondoned
abortion | abortion
abraham-lincoln | abraham-lincoln
abslowjam | abslowjam
absolutleyguttertrash | absolutleyguttertrash
abst | abst
abstract-horror | abstract-horror
abstraction | abstraction
absurd | absurd
absurd-horror | absurd-horror
absurdism | absurdism
absurdist | absurdist
abuse | abuse
abyss | abyss
abyssal | abyssal
ac | ac
academic | academic
acao | acao
acceleracers | acceleracers
accessibility | accessibility
accessible | accessible
accin | accin
accion | accion
accuracy | accuracy
ace | ace
ace-attorney | ace-attorney
acelhospital | acelhospital
acerola | acerola
acerola-game-jam | acerola-game-jam
acerola-jam | acerola-jam
acerolajam | acerolajam
achangel | achangel
achievements | achievements
achs | achs
achs-fangame | achs-fangame
acid | acid
acknex | acknex
acre | acre
acromatopsia | acromatopsia
act | act
actio | actio
actiom | actiom
action-52-owns | action-52-owns
action-adventure-rpg-fangame | action-adventure-rpg-fangame
action-platformer | action-platformer
action-puzzler | action-puzzler
action-roguelike | action-roguelike
action-shooter | action-shooter
action-visual-novel | action-visual-novel
action52 | action52
acttion | acttion
actual-play | actual-play
actually-not-horror | actually-not-horror
ad | ad
ad-free | ad-free
adam | adam
adamastor | adamastor
adamstheater | adamstheater
adaptation | adaptation
adaptative | adaptative
adapted-short-story | adapted-short-story
adaptive | adaptive
add-on | add-on
addicted | addicted
addicting | addicting
addiction | addiction
addictive | addictive
addition | addition
addon | addon
adepts | adepts
adepts-universe | adepts-universe
adhd | adhd
adjika | adjika
admiralbulldog | admiralbulldog
adobe | adobe
adolf | adolf
adrien-dittrick | adrien-dittrick
adrift | adrift
adult-content | adult-content
adultgames | adultgames
adv | adv
advanced-education | advanced-education
advanced-education-with-viktor-strobovski | advanced-education-with-viktor-strobovski
advanture | advanture
adve | adve
adven | adven
adventerous | adventerous
adventouron | adventouron
adventrue | adventrue
adventure-action | adventure-action
adventure-game | adventure-game
adventure-game-studio | adventure-game-studio
adventure-horror | adventure-horror
adventurebox-itchio | adventurebox-itchio
adventurehorror | adventurehorror
adventuron | adventuron
adver | adver
adversaries | adversaries
advetnure | advetnure
advjam | advjam
advjam2017 | advjam2017
aenever | aenever
aero | aero
aesthetic | aesthetic
aethetic | aethetic
aethos | aethos
aewvs | aewvs
aewvs-fangame | aewvs-fangame
afk | afk
africa | africa
after-monster | after-monster
after-the-virus | after-the-virus
afterlife | afterlife
aftermonster | aftermonster
aftershock | aftershock
afton | afton
aga | aga
against | against
agbic | agbic
agd | agd
agdg | agdg
agds | agds
agile | agile
agility | agility
agony | agony
agoraphobia | agoraphobia
agostini | agostini
agp | agp
ags | ags
aheartofiron | aheartofiron
ahh | ahh
ahl4alogs | ahl4alogs
ai | ai
ai-and-games-jam | ai-and-games-jam
ai-animals | ai-animals
ai-art | ai-art
ai-assist | ai-assist
ai-backgrounds | ai-backgrounds
ai-chatbot | ai-chatbot
ai-code | ai-code
ai-enemies | ai-enemies
ai-horror | ai-horror
ai-navigation | ai-navigation
ai-pictures | ai-pictures
ai-that-doesnt-move | ai-that-doesnt-move
ai-voices | ai-voices
