# hoGAMEGATA Full Registered Games Catalog (107809 games)
# Format: Title | Developer | URL
# Source: https://gamegata.xyz

 ceilings | Ion Storm | https://gamegata.xyz/game/ 4096 colors
(NES) 8-Bit Slasher 4-in-1 Horror Demakes (Slasher Pack) | 8-Bit Slasher | https://gamegata.xyz/game/itch-nes-8-bit-slasher-4-in-1-horror-demakes-slasher-pack
(NEW UPDATE) Before Grand Opening | GamingTGT | https://gamegata.xyz/game/itch-new-update-before-grand-opening
(NEW UPDATE) Harry.EXE Revisited V2.1 | LinkThePale | https://gamegata.xyz/game/itch-new-update-harryexe-revisited-v21
(NEW) Terror inside the fog | davidpeterworks | https://gamegata.xyz/game/itch-new-terror-inside-the-fog
(Not) a Love Story | BittersweetGames | https://gamegata.xyz/game/itch-not-a-love-story
(OLD) Scary Monsters 3D | BODE | https://gamegata.xyz/game/itch-old-scary-monsters-3d
(ON HIATUS) Five Nights at The Mixed Island | X10n_dev | https://gamegata.xyz/game/itch-on-hiatus-five-nights-at-the-mixed-island
(ORIGINAL GAME) Five Nights at Freddy's: Sister Location " free download " | klee | https://gamegata.xyz/game/itch-original-game-five-nights-at-freddys-sister-location-free-download
(Old) Darkness's Deceit | Cobalt Studios | https://gamegata.xyz/game/itch-old-darknesss-deceit
(Old) The Parallel Chronicles E1 Alpha | EyeBladeStudios | https://gamegata.xyz/game/itch-old-the-parallel-chronicles-e1-alpha
(Outdated) Blind Survival Online Demo | Blind-Survival | https://gamegata.xyz/game/itch-outdated-blind-survival-online-demo
(PA) AVI018 Prototyp Teaser | Eric A N | https://gamegata.xyz/game/itch-pa-avi018-prototyp-teaser
(PA) Codename: Passage | Eric A N | https://gamegata.xyz/game/itch-pa-codename-passage
(PC) 8-Bit Slasher 4-in-1 Horror Demakes | 8-Bit Slasher | https://gamegata.xyz/game/itch-pc-8-bit-slasher-4-in-1-horror-demakes
(PRE-ALPHA) WARHEART | codewar | https://gamegata.xyz/game/itch-pre-alpha-warheart
(PREMIUM)SOULLESS - Visual Novel/Interactive Story | flairvee | https://gamegata.xyz/game/itch-premiumsoulless-visual-novelinteractive-story
(Placeholder) Mansion: Lorem Ipsum | Independent Creator | https://gamegata.xyz/game/itch-placeholder-mansion-lorem-ipsum
(READ DESCRIPTION) FNaF: Security Breach Demo (Made With Unity) | bonchedu | https://gamegata.xyz/game/itch-read-description-fnaf-security-breach-demo-made-with-unity
(RELEASE) 4 Days of Easter | Independent Creator | https://gamegata.xyz/game/itch-release-4-days-of-easter
(RPG) The Legends of Power Volume 1 | SennaLuigi | https://gamegata.xyz/game/itch-rpg-the-legends-of-power-volume-1
(RUS ONLY)Обычный офис | AcrobatDev | https://gamegata.xyz/game/itch-rus-only
(Re) Memoir | Kim Dela Cruz | https://gamegata.xyz/game/itch-re-memoir
(Reboot)Five Times on Fredbear's: Game Series | FernandoPereiraAlves | https://gamegata.xyz/game/itch-rebootfive-times-on-fredbears-game-series
(SCRAPPED BUILD) Introverted's hell | Jeanz | https://gamegata.xyz/game/itch-scrapped-build-introverteds-hell
(SPINOFF) One night at hound dog: dating simulator | Jobless chuddington | https://gamegata.xyz/game/itch-spinoff-one-night-at-hound-dog-dating-simulator
(Sonic) Beyond The Veil | SonicDrift | https://gamegata.xyz/game/itch-sonic-beyond-the-veil
(Test-Beta) Home-Lockdown | Cryptic Vision Games | https://gamegata.xyz/game/itch-test-beta-home-lockdown
(Thai) "ฉันงงมาก"  I'm so confused | LastWinterR | https://gamegata.xyz/game/itch-thai-im-so-confused
(Thai) วันปกติ:มีคนเดินผ่านบ้าน NormalDay :people passing by | LastWinterR | https://gamegata.xyz/game/itch-thai-normalday-people-passing-by
(Thai) สมิง ลูกลิงกัง ฝ่าส้นเท้า! RPG open world? | LastWinterR | https://gamegata.xyz/game/itch-thai-rpg-open-world
(Thai/Eng) ยอดมนุษย์ 40 ดีกรี/40 DeGree man | LastWinterR | https://gamegata.xyz/game/itch-thaieng-40-40-degree-man
(U)IH | Mirabilit | https://gamegata.xyz/game/itch-uih
(UPDATE!!!) Incredibox - SPRUNKX! | Mr.Simon 2! | https://gamegata.xyz/game/itch-update-incredibox-sprunkx
(UPDATE) Incredibox - Sprunki: Free-Styled! | YaBoiJay | https://gamegata.xyz/game/itch-update-incredibox-sprunki-free-styled
(UPSCALER)(DRGBASE) RPG Maker Multiverse (Sandbox) | open16412 | https://gamegata.xyz/game/itch-upscalerdrgbase-rpg-maker-multiverse-sandbox
(Un)limited Space | Independent Creator | https://gamegata.xyz/game/itch-unlimited-space
(Unnamed) Scary Outhouse Game | Independent Creator | https://gamegata.xyz/game/itch-unnamed-scary-outhouse-game
(Update) Goober | Cool Games (I think) | https://gamegata.xyz/game/itch-update-goober
(beta) Fell Ink! papyrus | Mylordandme | https://gamegata.xyz/game/itch-beta-fell-ink-papyrus
(demo) Buki's Silly SPOOKY Game (a spooky game for short) | NyankoBfLol | https://gamegata.xyz/game/itch-demo-bukis-silly-spooky-game-a-spooky-game-for-short
(demo) Five Nights At Diagos | Epik productions | https://gamegata.xyz/game/itch-demo-five-nights-at-diagos
(for qzeq) qzeq chrome | chrisimagina | https://gamegata.xyz/game/itch-for-qzeq-qzeq-chrome
(game for qzeq)goofyest thing ive ever made | chrisimagina | https://gamegata.xyz/game/itch-game-for-qzeqgoofyest-thing-ive-ever-made
(horror mode) Trashki | The An1 | https://gamegata.xyz/game/itch-horror-mode-trashki
(new character) sprunki incredibox | koolkid1234874 | https://gamegata.xyz/game/itch-new-character-sprunki-incredibox
(não) Descubra (2024) | Independent Creator | https://gamegata.xyz/game/itch-no-descubra-2024
(old)Black Diary |Chapter One| [Proof of Concept] | Lehxra | https://gamegata.xyz/game/itch-oldblack-diary-chapter-one-proof-of-concept
(prerelese) dim dom's playhouse v2 | Sihver | https://gamegata.xyz/game/itch-prerelese-dim-doms-playhouse-v2
(steam) BBIEAL classic remastered non-steam | BaldiGamesFun | https://gamegata.xyz/game/itch-steam-bbieal-classic-remastered-non-steam
(un)stable | Oakwarrior | https://gamegata.xyz/game/itch-oakwarrior-unstable
(unfinished) David Is Still In the Car | Dirtbug Games | https://gamegata.xyz/game/itch-unfinished-david-is-still-in-the-car
(uni project) Arcade Escape | Kinerus | https://gamegata.xyz/game/itch-uni-project-arcade-escape
(´◓Д◔`)< 把拔我們回家吧 | dakawolf | https://gamegata.xyz/game/itch-game-5c5d66ab86f20f24
(ไทย) เเมวอีสานจัดการผีหลายตัว cat Esan vs  Many ghosts | pickled025 | https://gamegata.xyz/game/itch-cat-esan-vs-many-ghosts
*DEMO* Demon of Eternity | SapphieMoondancer | https://gamegata.xyz/game/itch-demo-demon-of-eternity
*For playtesting* Ergophobia | AlfredDan | https://gamegata.xyz/game/itch-for-playtesting-ergophobia
*NOT* An Ark Clone! | Redacted Studios | https://gamegata.xyz/game/itch-not-an-ark-clone
*Old version* When the Rooster Crows (GameJam+ 48h) | Independent Creator | https://gamegata.xyz/game/itch-old-version-when-the-rooster-crows-gamejam-48h
*Victims* | Excalibur02 | https://gamegata.xyz/game/itch-victims
*_+Project Gorilla+_* | KaiVR6660 | https://gamegata.xyz/game/itch-_project-gorilla_
*thepossessionsexperiments* | d900d6 | https://gamegata.xyz/game/itch-thepossessionsexperiments
*𝙏𝙮𝙥𝙞𝙣𝙜...* | Peri-727 | https://gamegata.xyz/game/itch-game-8dc3014c5d68598e
+ SALEM + | Salem Team | https://gamegata.xyz/game/itch-salem-team-salem
+Vita+ | theJameskrik | https://gamegata.xyz/game/itch-thejameskrik-vita
- BLINK - | Hidden Arts | https://gamegata.xyz/game/itch-hidden-arts-blink
- RotSpawn - Fear the darkness. | HydraGenisys | https://gamegata.xyz/game/itch-rotspawn-fear-the-darkness
- S W I T C H - | LuCCCaRIO | https://gamegata.xyz/game/itch-s-w-i-t-c-h
--oath-- | seek.zena | https://gamegata.xyz/game/itch-oath
-... -... .- ... ... / ... .. -- ..- .-.. .- - --- .-. | Tang Wen Jing | https://gamegata.xyz/game/itch-game-eda734c6f39eaa1a
-1 Floor | Katrafan | https://gamegata.xyz/game/itch-1-floor
-7.33- | idkwhojamesis | https://gamegata.xyz/game/itch-733
-Black Cherries- | TinySamm | https://gamegata.xyz/game/itch-black-cherries
-Citric Containment- (Reupload) | thecoolkid2485 | https://gamegata.xyz/game/itch-citric-containment-reupload
-Creature- | PhotoNegativeMickey | https://gamegata.xyz/game/itch-photonegativemickey-creature
-Entamaphobia - (Prototype) | elijah | https://gamegata.xyz/game/itch-entamaphobia-prototype
-Flurp's Diner- | Official Game (v 2.0) [IN-BROWSER VER.] | Matt | https://gamegata.xyz/game/itch-flurps-diner-official-game-v-20-in-browser-ver
-Flurp's Diner: CHALLENGES- | Official "DLC" (v 1.0) [IN-BROWSER VER.] | Matt | https://gamegata.xyz/game/itch-flurps-diner-challenges-official-dlc-v-10-in-browser-ver
-Flurp's Finale- | Official Game (v 1.0) [IN-BROWSER VER.] | Matt | https://gamegata.xyz/game/itch-flurps-finale-official-game-v-10-in-browser-ver
-Free Sprunki Game Pomex's Take- | Pomex official | https://gamegata.xyz/game/itch-free-sprunki-game-pomexs-take
-HEADCLEANER- Game Drive Vol. 1 | obliviist | https://gamegata.xyz/game/itch-headcleaner-game-drive-vol-1
-Horror RPG- I am MARIA's HERO | riinwin | https://gamegata.xyz/game/itch-horror-rpg-i-am-marias-hero
-OVERCAST- | R.R.N CREATIVE | https://gamegata.xyz/game/itch-overcast
-SIushiePlayz- Sprunki Game | PestLikePoob | https://gamegata.xyz/game/itch-siushieplayz-sprunki-game
